danceability,energy,loudness,tempo,valence
0.572,0.695,-6.231,111.461,0.807
0.423,0.468,-11.395,161.328,0.178
0.467,0.529,-8.825,87.949,0.177
0.491,0.556,-6.023,100.008,0.413
0.518,0.291,-15.711,108.448,0.25
0.644,0.848,-5.385,162.151,0.928
0.556,0.622,-9.179,119.995,0.177
0.2,0.166,-16.184,84.683,0.116
0.513,0.988,-3.453,144.965,0.375
0.52,0.935,-6.341,117.515,0.0729
0.573,0.7,-6.661,87.508,0.317
0.58,0.636,-6.649,105.037,0.38
0.593,0.823,-4.289,132.697,0.953
0.187,0.0367,-24.026,92.19,0.037
0.333,0.959,-4.348,137.052,0.242
0.728,0.944,-5.299,105.017,0.473
0.267,0.157,-19.348,103.273,0.06
0.904,0.817,-3.956,101.988,0.753
0.532,0.842,-6.152,126.042,0.715
0.805,0.583,-7.009,144.011,0.576
0.513,0.906,-3.673,173.0,0.73
0.653,0.964,-4.261,126.928,0.87
0.67,0.706,-6.371,165.995,0.829
0.47,0.941,-3.242,106.974,0.696
0.685,0.909,-4.034,95.004,0.922
0.808,0.587,-10.522,92.046,0.791
0.699,0.299,-12.599,118.969,0.459
0.118,0.627,-7.689,187.497,0.487
0.666,0.828,-5.896,97.992,0.69
0.489,0.929,-5.566,92.816,0.59
0.545,0.844,-6.648,160.115,0.683
0.798,0.625,-6.83,92.994,0.774
0.199,0.149,-18.329,83.489,0.0681
0.21,0.943,-7.656,164.844,0.13
0.388,0.708,-7.456,105.823,0.655
0.565,0.403,-12.425,109.62,0.48
0.604,0.98,-2.42,120.095,0.518
0.652,0.583,-7.811,138.134,0.744
0.424,0.079,-16.861,167.449,0.155
0.513,0.906,-3.673,173.0,0.73
0.452,0.703,-6.523,172.039,0.813
0.772,0.809,-3.994,97.407,0.654
0.583,0.269,-9.519,180.214,0.366
0.602,0.573,-7.388,174.048,0.319
0.685,0.909,-4.034,95.004,0.922
0.876,0.498,-7.511,122.016,0.428
0.575,0.306,-10.536,82.011,0.338
0.714,0.393,-10.157,67.589,0.72
0.458,0.0987,-16.021,139.987,0.349
0.488,0.713,-5.085,97.592,0.424
0.383,0.635,-6.331,95.112,0.4
0.499,0.819,-12.636,95.007,0.475
0.506,0.946,-4.173,91.111,0.651
0.626,0.749,-6.105,75.79,0.921
0.713,0.886,-7.75,97.983,0.9
0.823,0.694,-9.186,159.948,0.657
0.412,0.994,-3.362,92.999,0.044
0.374,0.474,-10.08,115.134,0.144
0.7,0.803,-5.819,147.091,0.342
0.699,0.529,-7.548,119.987,0.121
0.297,0.929,-3.547,124.959,0.252
0.521,0.35,-9.92,112.02,0.475
0.543,0.969,-7.0,107.523,0.0625
0.857,0.851,-4.885,82.986,0.675
0.627,0.858,-2.824,92.523,0.342
0.576,0.741,-6.095,94.995,0.271
0.714,0.628,-5.642,103.925,0.171
0.716,0.638,-8.76,90.987,0.575
0.43,0.805,-7.936,150.049,0.388
0.806,0.932,-2.228,106.021,0.792
0.666,0.568,-6.98,142.021,0.562
0.173,0.694,-6.549,116.088,0.351
0.331,0.55,-6.483,177.734,0.429
0.454,0.782,-7.52,78.987,0.743
0.674,0.58,-8.081,128.003,0.305
0.469,0.414,-10.497,94.878,0.358
0.729,0.737,-3.727,91.99,0.369
0.415,0.781,-6.947,142.966,0.261
0.48,0.542,-8.51,152.853,0.567
0.598,0.674,-3.653,72.205,0.803
0.376,0.932,-5.342,163.956,0.319
0.276,0.976,-3.863,130.074,0.137
0.292,0.714,-4.919,151.412,0.462
0.333,0.483,-8.261,75.096,0.107
0.727,0.526,-6.307,105.086,0.681
0.838,0.649,-6.639,120.032,0.454
0.683,0.511,-5.598,109.991,0.598
0.614,0.868,-3.968,95.008,0.615
0.485,0.776,-5.258,174.075,0.866
0.609,0.904,-6.029,165.96,0.915
0.642,0.562,-9.304,149.82,0.671
0.898,0.677,-6.422,130.027,0.578
0.56,0.634,-8.803,94.024,0.465
0.397,0.684,-10.014,63.047,0.87
0.815,0.403,-9.278,97.017,0.622
0.575,0.902,-3.092,130.024,0.601
0.53,0.72,-8.793,80.652,0.69
0.632,0.695,-11.998,94.214,0.637
0.359,0.573,-6.054,73.368,0.562
0.303,0.969,-2.466,109.384,0.163
0.194,0.101,-19.646,85.104,0.0647
0.488,0.175,-16.332,109.192,0.192
0.51,0.146,-19.585,159.034,0.498
0.428,0.146,-14.043,124.588,0.227
0.252,0.972,-3.58,110.492,0.157
0.663,0.896,-4.23,155.947,0.955
0.654,0.934,-4.67,135.991,0.656
0.381,0.897,-4.74,183.847,0.551
0.508,0.0901,-22.456,70.198,0.11
0.511,0.512,-10.478,104.493,0.823
0.439,0.739,-7.746,138.986,0.308
0.38,0.0993,-20.567,174.874,0.44
0.504,0.548,-6.559,162.997,0.279
0.596,0.525,-13.626,75.032,0.729
0.619,0.741,-6.244,152.04,0.636
0.483,0.913,-4.305,103.108,0.279
0.332,0.179,-11.83,96.529,0.315
0.634,0.939,-2.638,124.974,0.638
0.632,0.946,-2.784,125.061,0.324
0.799,0.818,-4.628,175.998,0.951
0.752,0.481,-9.203,135.671,0.393
0.496,0.863,-4.153,110.018,0.243
0.489,0.387,-11.834,172.135,0.42
0.282,0.92,-5.862,174.958,0.254
0.683,0.511,-5.598,109.991,0.598
0.255,0.127,-14.78,95.953,0.0388
0.75,0.718,-6.144,138.067,0.877
0.669,0.747,-6.609,144.158,0.815
0.296,0.563,-5.58,167.412,0.267
0.627,0.959,-4.744,109.981,0.397
0.78,0.482,-7.832,99.608,0.279
0.617,0.94,-5.538,137.009,0.057
0.359,0.87,-11.567,186.046,0.264
0.555,0.844,-6.567,105.193,0.464
0.812,0.624,-14.324,124.089,0.693
0.318,0.657,-11.829,177.477,0.753
0.646,0.57,-8.964,93.989,0.473
0.474,0.765,-6.579,106.993,0.767
0.828,0.697,-8.831,101.983,0.651
0.696,0.146,-24.519,145.029,0.0838
0.3,0.898,-11.527,76.495,0.214
0.58,0.832,-6.696,195.864,0.843
0.638,0.658,-8.468,100.04,0.586
0.451,0.845,-5.986,144.536,0.414
0.819,0.513,-9.005,140.032,0.607
0.724,0.767,-10.403,75.986,0.945
0.428,0.442,-14.255,83.995,0.135
0.58,0.846,-3.464,89.952,0.774
0.477,0.74,-5.397,107.384,0.56
0.713,0.657,-4.088,125.012,0.813
0.59,0.671,-6.098,149.982,0.438
0.438,0.985,-5.571,105.993,0.583
0.699,0.709,-6.868,137.035,0.724
0.728,0.379,-10.252,132.024,0.384
0.773,0.366,-11.327,147.948,0.509
0.708,0.316,-9.507,81.403,0.652
0.776,0.629,-6.09,97.066,0.104
0.56,0.473,-7.23,109.414,0.441
0.519,0.924,-2.392,119.969,0.883
0.472,0.648,-8.886,85.305,0.542
0.376,0.845,-5.681,176.046,0.732
0.775,0.828,-3.972,79.992,0.571
0.515,0.698,-5.572,139.96,0.194
0.305,0.462,-9.57,113.468,0.181
0.499,0.634,-7.84,139.483,0.42
0.661,0.576,-6.025,123.425,0.924
0.647,0.45,-12.358,94.962,0.339
0.703,0.327,-13.647,132.006,0.274
0.503,0.582,-4.324,77.321,0.326
0.542,0.607,-8.112,164.859,0.853
0.459,0.89,-3.246,115.654,0.447
0.422,0.986,-3.817,143.969,0.306
0.807,0.606,-8.871,92.988,0.304
0.545,0.861,-4.819,105.017,0.279
0.646,0.645,-6.775,121.999,0.687
0.564,0.407,-10.764,150.261,0.524
0.226,0.303,-10.866,66.727,0.094
0.563,0.724,-4.651,93.006,0.486
0.572,0.634,-10.599,168.136,0.432
0.528,0.976,-5.157,133.01,0.243
0.252,0.972,-3.58,110.492,0.157
0.738,0.499,-14.344,88.916,0.806
0.768,0.828,-3.371,90.982,0.827
0.782,0.697,-5.85,76.031,0.416
0.608,0.565,-11.06,109.286,0.835
0.798,0.625,-6.83,92.994,0.774
0.596,0.259,-12.273,94.736,0.438
0.694,0.771,-8.313,159.878,0.766
0.488,0.732,-5.514,138.023,0.378
0.654,0.934,-4.67,135.991,0.656
0.725,0.703,-4.948,82.051,0.561
0.867,0.899,-5.192,109.301,0.715
0.578,0.811,-7.044,88.852,0.92
0.371,0.961,-6.765,115.336,0.159
0.695,0.711,-6.841,109.974,0.494
0.57,0.959,-2.872,119.966,0.417
0.802,0.771,-3.058,91.993,0.794
0.768,0.618,-6.043,81.014,0.707
0.604,0.704,-6.564,80.93,0.399
0.745,0.438,-7.018,119.99,0.0409
0.516,0.798,-6.313,175.828,0.791
0.678,0.518,-7.79,88.003,0.784
0.661,0.677,-6.467,174.068,0.959
0.689,0.705,-3.224,89.109,0.456
0.345,0.423,-6.962,119.634,0.15
0.695,0.818,-5.379,119.965,0.916
0.683,0.511,-5.598,109.991,0.598
0.64,0.861,-6.697,122.598,0.796
0.346,0.0578,-22.644,97.259,0.422
0.644,0.776,-7.017,132.334,0.912
0.479,0.541,-9.862,85.994,0.3
0.602,0.683,-9.096,123.494,0.148
0.535,0.285,-14.143,92.033,0.206
0.612,0.749,-5.014,120.052,0.574
0.757,0.587,-6.346,136.9,0.601
0.584,0.803,-4.953,108.049,0.339
0.581,0.28,-9.091,137.831,0.813
0.853,0.777,-4.025,94.023,0.555
0.401,0.619,-7.035,78.763,0.757
